"frame_path","label"
"fca_analysis_studio/left/90.png","left"
"fca_analysis_studio/left/91.png","left"
"fca_analysis_studio/left/92.png","left"
"fca_analysis_studio/left/93.png","left"
"fca_analysis_studio/left/94.png","left"
"fca_analysis_studio/left/95.png","left"
"fca_analysis_studio/left/96.png","left"
"fca_analysis_studio/left/97.png","left"
"fca_analysis_studio/left/98.png","left"
"fca_analysis_studio/left/99.png","left"
"fca_analysis_studio/left/100.png","left"
"fca_analysis_studio/left/101.png","left"
"fca_analysis_studio/left/102.png","left"
"fca_analysis_studio/left/103.png","left"
"fca_analysis_studio/left/104.png","left"
"fca_analysis_studio/left/105.png","left"
"fca_analysis_studio/left/106.png","left"
"fca_analysis_studio/left/107.png","left"
"fca_analysis_studio/left/108.png","left"
"fca_analysis_studio/left/109.png","left"
"fca_analysis_studio/left/110.png","left"
"fca_analysis_studio/left/111.png","left"
"fca_analysis_studio/left/112.png","left"
"fca_analysis_studio/left/113.png","left"
"fca_analysis_studio/left/114.png","left"
"fca_analysis_studio/left/115.png","left"
"fca_analysis_studio/left/116.png","left"
"fca_analysis_studio/left/117.png","left"
"fca_analysis_studio/left/118.png","left"
"fca_analysis_studio/left/119.png","left"
"fca_analysis_studio/left/120.png","left"
"fca_analysis_studio/left/121.png","left"
"fca_analysis_studio/left/122.png","left"
"fca_analysis_studio/left/123.png","left"
"fca_analysis_studio/left/124.png","left"
"fca_analysis_studio/left/125.png","left"
"fca_analysis_studio/right/330.png","right"
"fca_analysis_studio/right/331.png","right"
"fca_analysis_studio/right/332.png","right"
"fca_analysis_studio/right/333.png","right"
"fca_analysis_studio/right/334.png","right"
"fca_analysis_studio/right/335.png","right"
"fca_analysis_studio/right/336.png","right"
"fca_analysis_studio/right/337.png","right"
"fca_analysis_studio/right/338.png","right"
"fca_analysis_studio/right/339.png","right"
"fca_analysis_studio/right/340.png","right"
"fca_analysis_studio/right/341.png","right"
"fca_analysis_studio/right/342.png","right"
"fca_analysis_studio/right/343.png","right"
"fca_analysis_studio/right/344.png","right"
"fca_analysis_studio/right/345.png","right"
"fca_analysis_studio/right/346.png","right"
"fca_analysis_studio/right/347.png","right"
"fca_analysis_studio/right/348.png","right"
"fca_analysis_studio/right/349.png","right"
"fca_analysis_studio/right/350.png","right"
"fca_analysis_studio/right/351.png","right"
"fca_analysis_studio/right/352.png","right"
"fca_analysis_studio/right/353.png","right"
"fca_analysis_studio/right/354.png","right"
"fca_analysis_studio/right/355.png","right"
"fca_analysis_studio/right/356.png","right"
"fca_analysis_studio/right/357.png","right"
"fca_analysis_studio/right/358.png","right"
"fca_analysis_studio/right/359.png","right"
"fca_analysis_studio/right/360.png","right"
"fca_analysis_studio/right/361.png","right"
"fca_analysis_studio/right/362.png","right"
"fca_analysis_studio/right/363.png","right"
"fca_analysis_studio/right/364.png","right"
"fca_analysis_studio/right/365.png","right"
