"frame_path","label"
"fca_analysis_studio/left/1661.png","left"
"fca_analysis_studio/left/2132.png","left"
"fca_analysis_studio/left/2756.png","left"
"fca_analysis_studio/left/3023.png","left"
"fca_analysis_studio/left/3076.png","left"
"fca_analysis_studio/left/3232.png","left"
"fca_analysis_studio/left/3282.png","left"
"fca_analysis_studio/left/3448.png","left"
"fca_analysis_studio/left/3630.png","left"
"fca_analysis_studio/left/3890.png","left"
"fca_analysis_studio/left/3898.png","left"
"fca_analysis_studio/left/3926.png","left"
"fca_analysis_studio/left/4123.png","left"
"fca_analysis_studio/left/4138.png","left"
"fca_analysis_studio/left/4320.png","left"
"fca_analysis_studio/left/4448.png","left"
"fca_analysis_studio/left/4517.png","left"
"fca_analysis_studio/left/4645.png","left"
"fca_analysis_studio/left/4697.png","left"
"fca_analysis_studio/left/5213.png","left"
"fca_analysis_studio/left/5224.png","left"
"fca_analysis_studio/left/5244.png","left"
"fca_analysis_studio/left/5397.png","left"
"fca_analysis_studio/left/5504.png","left"
"fca_analysis_studio/left/5917.png","left"
"fca_analysis_studio/left/6017.png","left"
"fca_analysis_studio/left/6067.png","left"
"fca_analysis_studio/left/6125.png","left"
"fca_analysis_studio/left/6170.png","left"
"fca_analysis_studio/left/6249.png","left"
"fca_analysis_studio/left/6274.png","left"
"fca_analysis_studio/left/6374.png","left"
"fca_analysis_studio/left/6405.png","left"
"fca_analysis_studio/left/6509.png","left"
"fca_analysis_studio/left/6525.png","left"
"fca_analysis_studio/left/6692.png","left"
"fca_analysis_studio/left/6710.png","left"
"fca_analysis_studio/left/6745.png","left"
"fca_analysis_studio/left/6819.png","left"
"fca_analysis_studio/left/6867.png","left"
"fca_analysis_studio/right/1678.png","right"
"fca_analysis_studio/right/1806.png","right"
"fca_analysis_studio/right/2140.png","right"
"fca_analysis_studio/right/2213.png","right"
"fca_analysis_studio/right/3019.png","right"
"fca_analysis_studio/right/3099.png","right"
"fca_analysis_studio/right/3139.png","right"
"fca_analysis_studio/right/3297.png","right"
"fca_analysis_studio/right/3580.png","right"
"fca_analysis_studio/right/3692.png","right"
"fca_analysis_studio/right/3707.png","right"
"fca_analysis_studio/right/3717.png","right"
"fca_analysis_studio/right/3815.png","right"
"fca_analysis_studio/right/3865.png","right"
"fca_analysis_studio/right/4035.png","right"
"fca_analysis_studio/right/4038.png","right"
"fca_analysis_studio/right/4128.png","right"
"fca_analysis_studio/right/4173.png","right"
"fca_analysis_studio/right/4184.png","right"
"fca_analysis_studio/right/4373.png","right"
"fca_analysis_studio/right/4384.png","right"
"fca_analysis_studio/right/4415.png","right"
"fca_analysis_studio/right/4539.png","right"
"fca_analysis_studio/right/4585.png","right"
"fca_analysis_studio/right/4611.png","right"
"fca_analysis_studio/right/4627.png","right"
"fca_analysis_studio/right/4647.png","right"
"fca_analysis_studio/right/4822.png","right"
"fca_analysis_studio/right/4872.png","right"
"fca_analysis_studio/right/5160.png","right"
"fca_analysis_studio/right/5182.png","right"
"fca_analysis_studio/right/5183.png","right"
"fca_analysis_studio/right/5208.png","right"
"fca_analysis_studio/right/5294.png","right"
"fca_analysis_studio/right/5308.png","right"
"fca_analysis_studio/right/5386.png","right"
"fca_analysis_studio/right/5391.png","right"
"fca_analysis_studio/right/5392.png","right"
"fca_analysis_studio/right/5454.png","right"
"fca_analysis_studio/right/6082.png","right"

